VERTEX 0 0 0
VERTEX 1 -0.995471 -18.6942
VERTEX 2 -1.90045 -30.7242
VERTEX 3 -3.34841 -52.9881
VERTEX 4 -83.5292 -45.1957
VERTEX 5 -87.6923 -87.6084
VERTEX 6 -96.4711 -178
VERTEX 7 -29.9549 -184.679
VERTEX 8 -36.3804 -259.486
VERTEX 9 -40.996 -312.362
VERTEX 10 -112.49 -305.349
VERTEX 11 -181.36 -299.338
VERTEX 12 -191.124 -301.012
VERTEX 13 -195.749 -327.168
VERTEX 14 -138.101 -332.845
VERTEX 15 -43.711 -341.306
VERTEX 16 -45.521 -357.67
VERTEX 17 70.1362 -192.249
VERTEX 18 77.9186 -97.5159
VERTEX 19 80.9048 -60.1125
VERTEX 20 64.5 -58.4427
VERTEX 21 64.7057 -35.7336
VERTEX 22 66.6965 -5.34334
VERTEX 23 63.8913 -49.6485
VERTEX 24 99.5473 -52.3202
VERTEX 25 48.5068 -94.065
VERTEX 26 37.6471 -99.5196
VERTEX 27 -107.693 -253.697
VERTEX 28 -108.689 -262.603
VERTEX 29 -162.807 -258.595
VERTEX 30 -198.917 -370.249
VERTEX 31 20.1813 -346.538
VERTEX 32 26.7877 -317.928
VERTEX 33 0.271492 5.00938
VERTEX 34 -81.538 12.5791
VERTEX 35 -90.5878 -12.9056
VERTEX 36 -140.907 -375.258
VERTEX 37 -72.0367 -256.591
VERTEX 38 -69.0367 -226.591
EDGE 0 1 -1.624
EDGE 1 2 -1.64588
EDGE 2 3 -1.63574
EDGE 3 4 3.04471
EDGE 4 5 -1.66864
EDGE 5 6 -1.66761
EDGE 6 7 -0.100076
EDGE 7 8 -1.65648
EDGE 8 9 -1.65787
EDGE 9 10 3.04381
EDGE 10 11 3.05453
EDGE 11 12 -2.9718
EDGE 12 13 -1.74581
EDGE 13 14 -0.0981605
EDGE 14 15 -0.0893998
EDGE 15 16 -1.68096
EDGE 17 18 1.48883
EDGE 18 19 1.49113
EDGE 19 20 3.04015
EDGE 20 23 1.6399
EDGE 23 21 1.51234
EDGE 21 22 1.50538
EDGE 23 24 -0.0747901
EDGE 25 26 -2.67612
EDGE 27 28 -1.68217
EDGE 28 29 3.06767
EDGE 29 11 -1.9981
EDGE 30 36 -0.0861335
EDGE 13 30 -1.6442
EDGE 15 31 -0.0817055
EDGE 9 32 -0.0819303
EDGE 33 34 3.04933
EDGE 33 0 -1.62494
EDGE 1 35 3.07707
EDGE 14 36 -1.63686
EDGE 2 21 -0.0750679
EDGE 22 0 3.06165
EDGE 18 25 3.0248
EDGE 26 5 3.04685
EDGE 6 27 -1.71797
EDGE 27 37 -0.0810002
EDGE 37 8 -0.0810002
EDGE 37 38 1.47113
EDGE 28 10 -1.65948
EDGE 15 9 1.47727
EDGE 7 17 -0.0754874
EDGE 20 3 3.06137
